file_short,file,sdl,insolation,avg_hab_fraction_land_volume,avg_hab_fraction_ocean_volume,avg_hab_fraction_volume,avg_hab_fraction_land_area,avg_hab_fraction_ocean_area,avg_hab_fraction_area
S01,amANN0400-0499.aijP225eoDOFP3Od_X256_O30S.nc,256,3413.6142578125,1.0,1.0,1.0,1.0,1.0,1.0
S02,amANN0900-0999.aijP211eoDOFP3Od_X256_O30.nc,256,1365.4456787109375,0.13477929,0.99589974,0.99481004,0.014816296,0.99239033,0.7055424
S03,amANN0900-0999.aijP211eoDOFP3Od_X256_O30S.nc,256,1365.4456787109375,0.12903017,0.9963705,0.99527013,0.014251311,0.9929601,0.70577925
S04,amANN0900-0999.aijP212eoDOFP3Od_X256_O30.nc,256,1501.9603271484375,0.34178376,0.9996232,0.99878824,0.1609787,0.9991981,0.75324076
S05,amANN0900-0999.aijP213eoDOFP3Od_X256_O30.nc,256,1638.574951171875,0.5079618,1.0,0.99936646,0.36533532,1.0,0.81377137
S06,amANN0900-0999.aijP214eoDOFP3Od_X256_O30.nc,256,1775.08935546875,0.6939553,1.0,0.99959123,0.564629,1.0,0.87224984
S07,amANN0900-0999.aijP216eoDOFP3Od_X256_O30.nc,256,2048.118408203125,0.896319,1.0,0.9998638,0.88101846,1.0,0.9650874
S08,amANN0900-0999.aijP217eoDOFP3Od_X256_O30.nc,256,2321.247802734375,0.97100496,1.0,0.9999608,0.97191465,1.0,0.9917589
S09,amANN0900-0999.aijP217eoDOFP3Od_X256_O30S.nc,256,2321.247802734375,0.978595,1.0,0.99997085,0.9848164,1.0,0.9955447
S10,amANN0900-0999.aijP219eoDOFP3Od_X256_O30.nc,256,2594.27685546875,0.9971329,1.0,0.9999959,0.998962,1.0,0.9996954
S11,amANN0900-0999.aijP221eoDOFP3Od_X256_O30.nc,256,2867.406005859375,1.0,1.0,1.0,1.0,1.0,1.0
S12,amANN0900-0999.aijP223eoDOFP3Od_X256_O30.nc,256,3140.3349609375,1.0,1.0,1.0,1.0,1.0,1.0
S13,amANN0900-0999.aijP225eoDOFP3Od_X256_O30.nc,256,3413.6142578125,1.0,1.0,1.0,1.0,1.0,1.0
S14,amANN0900-0999.aijP225eoDOFP3Od_X256_O30S.nc,256,3413.6142578125,1.0,1.0,1.0,1.0,1.0,1.0
S15,amANN0950-0999.aijP211eoDOFP3Od_X128_O30.nc,128,1365.4500732421875,0.24241142,0.99979967,0.9988207,0.11458006,0.9995763,0.7398933
S16,amANN0950-0999.aijP212eoDOFP3Od_X128_O30.nc,128,1501.9649658203125,0.51425177,0.999738,0.99909073,0.3879631,1.0,0.820411
S17,amANN0950-0999.aijP213eoDOFP3Od_X128_O30.nc,128,1638.580078125,0.63145864,0.9997513,0.9992514,0.53140295,1.0,0.8625003
S18,amANN0950-0999.aijP214eoDOFP3Od_X128_O30.nc,128,1775.0950927734375,0.7169098,0.9997812,0.99940044,0.64098114,1.0,0.89465374
S19,amANN0950-0999.aijP215eoDOFP3Od_X128_O30.nc,128,1911.610107421875,0.7946098,0.99985355,0.99957603,0.73500204,1.0,0.9222421
S20,amANN0950-0999.aijP216eoDOFP3Od_X128_O30.nc,128,2048.125,0.85917366,0.99995404,0.99975854,0.8346487,1.0,0.9514812
S21,amANN0950-0999.aijP217eoDOFP3Od_X128_O30.nc,128,2321.255126953125,0.9662344,0.9999949,0.99994725,0.9593747,1.0,0.98807937
S22,amANN0950-0999.aijP219eoDOFP3Od_X128_O30.nc,128,2594.284912109375,0.9884231,1.0,0.99998343,0.98931056,1.0,0.99686337
S23,amANN0950-0999.aijP221eoDOFP3Od_X128_O30.nc,128,2867.4150390625,0.9996705,1.0,0.9999995,1.0,1.0,1.0
S24,amANN0950-0999.aijP223eoDOFP3Od_X128_O30.nc,128,3140.34521484375,1.0,1.0,1.0,1.0,1.0,1.0
S25,amANN0990-0999.aijP211eoDOFP3Od_X001_O30.nc,1,1365.57177734375,0.7406639,0.827375,0.8272331,0.6325379,0.81706774,0.76292145
S26,amANN0990-0999.aijP211eoDOFP3Od_X002_O30.nc,2,1365.5650634765625,0.76862705,0.82343155,0.8233492,0.69641984,0.8158413,0.7807996
S27,amANN0990-0999.aijP211eoDOFP3Od_X004_O30.nc,4,1365.5477294921875,0.74333906,0.8511546,0.8510065,0.69300354,0.8433162,0.7992102
S28,amANN0990-0999.aijP211eoDOFP3Od_X008_O30.nc,8,1365.52685546875,0.7102162,0.87969196,0.8794781,0.67583776,0.8714228,0.8140326
S29,amANN0990-0999.aijP211eoDOFP3Od_X016_O30.nc,16,1365.49853515625,0.76937515,0.9991548,0.9988489,0.72971684,0.9983017,0.91949123
S30,amANN0990-0999.aijP211eoDOFP3Od_X032_O30.nc,32,1365.4737548828125,0.63460153,0.99925774,0.99875015,0.5522814,0.99915254,0.86802787
S31,amANN0990-0999.aijP211eoDOFP3Od_X064_O30.nc,64,1365.4583740234375,0.35167402,0.9989078,0.9980395,0.24181691,0.99830514,0.7763301
S32,amANN0990-0999.aijP212eoDOFP3Od_X001_O30.nc,1,1502.0989990234375,0.9194234,0.9997769,0.99965084,0.8890628,0.9995256,0.96711266
S33,amANN0990-0999.aijP212eoDOFP3Od_X002_O30.nc,2,1502.0914306640625,0.9161482,0.999933,0.99981904,0.9007741,0.99985737,0.97078353
S34,amANN0990-0999.aijP212eoDOFP3Od_X004_O30.nc,4,1502.0723876953125,0.9114435,0.9982952,0.9981783,0.89675784,0.9971107,0.9676643
S35,amANN0990-0999.aijP212eoDOFP3Od_X008_O30.nc,8,1502.049560546875,0.84607476,0.971592,0.9714235,0.8192833,0.9653903,0.9225184
S36,amANN0990-0999.aijP212eoDOFP3Od_X016_O30.nc,16,1502.018310546875,0.9209864,1.0,0.99990106,0.91471416,1.0,0.9749747
S37,amANN0990-0999.aijP212eoDOFP3Od_X032_O30.nc,32,1501.9910888671875,0.8765716,1.0,0.9998398,0.855555,1.0,0.95761573
S38,amANN0990-0999.aijP212eoDOFP3Od_X064_O30.nc,64,1501.9742431640625,0.64240044,0.99978334,0.99931115,0.58881176,1.0,0.8793457
S39,amANN0990-0999.aijP213eoDOFP3Od_X002_O30.nc,2,1638.7178955078125,0.9432153,1.0,0.9999243,0.93400306,1.0,0.98063457
S40,amANN0990-0999.aijP213eoDOFP3Od_X004_O30.nc,4,1638.6971435546875,0.92929924,1.0,0.999904,0.9179755,1.0,0.97593164
S41,amANN0990-0999.aijP213eoDOFP3Od_X008_O30.nc,8,1638.67236328125,0.93446726,1.0,0.9999128,0.925931,1.0,0.97826606
S42,amANN0990-0999.aijP213eoDOFP3Od_X016_O30.nc,16,1638.63818359375,0.949225,1.0,0.99993527,0.9447798,1.0,0.98379683
S43,amANN0990-0999.aijP213eoDOFP3Od_X032_O30.nc,32,1638.6083984375,0.95799506,1.0,0.9999454,0.9549849,1.0,0.98679125
S44,amANN0990-0999.aijP213eoDOFP3Od_X064_O30.nc,64,1638.590087890625,0.7983591,0.99988824,0.9996209,0.77324486,1.0,0.9334636
S45,amANN0990-0999.aijP214eoDOFP3Od_X004_O30.nc,4,1775.221923828125,0.95838153,1.0,0.99994314,0.94737685,1.0,0.9845589
S46,amANN0990-0999.aijP214eoDOFP3Od_X016_O30.nc,16,1775.158203125,0.97324556,1.0,0.99996537,0.970032,1.0,0.99120647
S47,amANN0990-0999.aijP214eoDOFP3Od_X016_O30S.nc,16,1775.158203125,0.9714909,1.0,0.999963,0.96969634,1.0,0.991108
S48,amANN0990-0999.aijP214eoDOFP3Od_X064_O30.nc,64,1775.10595703125,0.88604605,0.9998907,0.9997386,0.871452,1.0,0.9622804
S49,amANN0990-0999.aijP215eoDOFP3Od_X064_O30.nc,64,1911.6217041015625,0.93005747,0.99994344,0.9998498,0.9241261,1.0,0.9777364
S50,amANN0990-0999.aijP216eoDOFP3Od_X064_O30.nc,64,2048.137451171875,0.9543375,0.9999889,0.99992895,0.94853204,1.0,0.9848978
S51,amANN0990-0999.aijP217eoDOFP3Od_X064_O30.nc,64,2321.269287109375,0.98634905,1.0,0.9999801,0.9856642,1.0,0.99579346
S52,amANN0990-0999.aijP219eoDOFP3Od_X064_O30.nc,64,2594.301025390625,1.0,1.0,1.0,1.0,1.0,1.0
S53,amANN0990-0999.aijP221eoDOFP3Od_X064_O30.nc,64,2867.4326171875,1.0,1.0,1.0,1.0,1.0,1.0
S54,amANN1250-1299.aijP225eoDOFP3Od_X128_O30.nc,128,3413.625244140625,1.0,1.0,1.0,1.0,1.0,1.0
S55,amANN1250-1299.aijP227eoDOFP3Od_X128_O30.nc,128,3686.705078125,1.0,1.0,1.0,1.0,1.0,1.0
S56,amANN1290-1299.aijP213eoDOFP3Od_X001_O30.nc,1,1638.7261962890625,0.95240253,1.0,0.9999383,0.9454081,1.0,0.9839812
S57,amANN1290-1299.aijP214eoDOFP3Od_X008_O30.nc,8,1775.1949462890625,0.9670061,1.0,0.9999547,0.9614977,1.0,0.9887023
S58,amANN1290-1299.aijP214eoDOFP3Od_X032_O30.nc,32,1775.1258544921875,0.98378915,1.0,0.99997866,0.9815007,1.0,0.9945717
S59,amANN1290-1299.aijP216eoDOFP3Od_X032_O30.nc,32,2048.16064453125,1.0,1.0,1.0,1.0,1.0,1.0
S60,amANN1400-1499.aijP215eoDOFP3Od_X256_O30.nc,256,1911.60400390625,0.8431807,1.0,0.9997894,0.78066725,1.0,0.9356415
S61,amANN1490-1499.aijP215eoDOFP3Od_X008_O30.nc,8,1911.7176513671875,0.9852222,1.0,0.99997807,0.98173285,1.0,0.9946399
S62,amANN1490-1499.aijP215eoDOFP3Od_X032_O30.nc,32,1911.643310546875,0.9955117,1.0,0.9999939,0.99516326,1.0,0.99858075
S63,amANN1490-1499.aijP223eoDOFP3Od_X064_O30.nc,64,3140.364501953125,1.0,1.0,1.0,1.0,1.0,1.0
S64,amANN1490-1499.aijP227eoDOFP3Od_X064_O30.nc,64,3686.72802734375,1.0,1.0,1.0,1.0,1.0,1.0
S65,amANN1690-1699.aijP225eoDOFP3Od_X064_O30.nc,64,3413.64599609375,1.0,1.0,1.0,1.0,1.0,1.0
S66,amANN1990-1999.aijP229eoDOFP3Od_X064_O30.nc,64,3959.829833984375,1.0,1.0,1.0,1.0,1.0,1.0
S67,amANN2190-2199.aijP215eoDOFP3Od_X016_O30.nc,16,1911.6448974609375,0.9920308,1.0,0.9999894,0.99182713,1.0,0.9976018
S68,amANN2490-2499.aijP217eoDOFP3Od_X032_O30.nc,32,2321.29541015625,1.0,1.0,1.0,1.0,1.0,1.0
S69,amANN2490-2499.aijP219eoDOFP3Od_X032_O30.nc,32,2594.330078125,1.0,1.0,1.0,1.0,1.0,1.0
S70,amANN2990-2999.aijP221eoDOFP3Od_X032_O30.nc,32,2867.46484375,1.0,1.0,1.0,1.0,1.0,1.0
